,Label,Dataset,FileName,training
0,0,AS,AS_20190822_86805A.wav,1
1,0,AS,AS_20190822_4IZOM2.wav,1
2,0,AS,AS_20190822_OMU76J.wav,0
3,0,AS,AS_20190822_5Q2LR3.wav,0
4,0,AS,AS_20190822_FRJDO9.wav,1
5,0,AS,AS_20190823_A8ERCT.wav,1
6,0,AS,AS_20190823_95V57Q.wav,1
7,0,AS,AS_20190823_DA4TQN.wav,0
8,0,AS,AS_20190823_ZWFU52.wav,1
9,0,AS,AS_20190823_A53P86.wav,1
10,0,AS,AS_20190823_OHX35Q.wav,0
11,0,AS,AS_20190823_IRNK8H.wav,1
12,0,AS,AS_20190823_E1ZPYR.wav,1
13,0,AS,AS_20190823_TANML8.wav,1
14,0,AS,AS_20190823_CYA43U.wav,1
15,0,AS,AS_20190823_BXW6MQ.wav,0
16,0,AS,AS_20190823_Q3UXZZ.wav,1
17,0,AS,AS_20190823_LNWGYC.wav,1
18,0,AS,AS_20190823_ZP39QP.wav,1
19,0,AS,AS_20190823_BJL0YZ.wav,1
20,0,AS,AS_20190823_DH8W02.wav,1
21,0,AS,AS_20190823_PKJNUJ.wav,1
22,0,AS,AS_20190823_2BW89Q.wav,0
23,0,AS,AS_20190823_E12BQL.wav,1
24,0,AS,AS_20190823_UKE2QP.wav,1
25,0,AS,AS_20190823_T805PS.wav,1
26,0,AS,AS_20190823_EHXT0S.wav,1
27,0,AS,AS_20190823_UVVRLY.wav,1
28,0,AS,AS_20190823_YRQFJ4.wav,1
29,0,AS,AS_20190823_HOKWMC.wav,1
30,0,AS,AS_20190823_TU6YMG.wav,1
31,0,AS,AS_20190823_9IEUKS.wav,1
32,0,AS,AS_20190823_B1XUHY.wav,1
33,0,AS,AS_20190823_ZQWN2W.wav,1
34,0,AS,AS_20190823_Y5NAH1.wav,1
35,1,AS,AS_20210314_CYDGSG.wav,0
36,1,AS,AS_20210314_T37ZSZ.wav,1
37,1,AS,AS_20210314_0Z4ZZ0.wav,1
38,1,AS,AS_20210314_XJ5HAH.wav,1
39,1,AS,AS_20210314_KB9QOL.wav,1
40,1,AS,AS_20210314_PQJ0BN.wav,1
41,1,AS,AS_20210314_UXK8Q2.wav,1
42,0,AS,AS_20210314_SYZ9CE.wav,1
43,0,AS,AS_20210314_V8VSTC.wav,1
44,1,AS,AS_20210314_7PZYH7.wav,1
45,1,AS,AS_20210314_WR27NV.wav,1
46,1,AS,AS_20210314_6VIZHB.wav,1
47,1,AS,AS_20210314_L51H32.wav,1
48,1,AS,AS_20210314_92JL4V.wav,1
49,1,AS,AS_20210314_YG2ZJF.wav,1
50,1,AS,AS_20210314_6IX878.wav,1
51,1,AS,AS_20210314_88UKA3.wav,1
52,1,AS,AS_20210314_2R20UE.wav,1
53,1,AS,AS_20210314_D4A5KK.wav,1
54,1,AS,AS_20210314_CDYTL4.wav,1
55,1,AS,AS_20210314_2G61KL.wav,1
56,1,AS,AS_20210314_FBAQG3.wav,1
57,1,AS,AS_20210314_6JOU4D.wav,1
58,1,AS,AS_20210314_APZIQ8.wav,1
59,1,AS,AS_20210314_5I139I.wav,1
60,1,AS,AS_20210314_8DDMZ1.wav,1
61,1,AS,AS_20210314_E6NYUT.wav,1
62,1,AS,AS_20210314_0DSNE8.wav,1
